kategorije,naslov,ocena,stevilo_glasov,avtor,lestvica,starost,stevilo_strani,mesec,datum,zaloznik,drzava,jezik

"['Fiction Books', 'Contemporary Fiction', 'Classic Books & Novels', 'Historical Adventure', 'Classic Books for Children']",The Old Man and the Sea,3.8,1038539,Ernest Hemingway,"2,351",12-17,112,Aug,1994,Cornerstone,United Kingdom,English

"['Fantasy', 'Fantasy Books', 'Children's Fiction', 'Children's General Story Books', 'Adventure Books for Kids', 'Sci Fi Books for Kids', 'Fantasy Books for Kids', 'Romance Books for Teenagers']",The Assassin's Blade : The Throne of Glass Novellas,4.32,281405,Sarah J. Maas,"4,290",12-17,448,Mar,2015,Bloomsbury Publishing PLC,United Kingdom,English

"['Fiction Books', 'Contemporary Fiction', 'Classic Books & Novels', 'Romance', 'Romance Books', 'Classic Books for Children', 'Romance Books for Teenagers']",Pride and Prejudice,4.28,3862500,Jane Austen,"1,477",12-15,416,Dec,2012,Penguin Books Ltd,United Kingdom,English

"['Picture Books', 'Baby Books', 'Children's Fiction', 'Classic Books for Children', 'Children's General Story Books', 'Adventure Books for Kids', 'Traditional', 'Family', 'Funny Books for Kids', 'English Language: Reading Schemes']",The Paper Bag Princess,4.31,50379,Michael Martchenko,"4,177",12-17,32,Dec,1986,Annick Press Ltd,Canada,English

"['Classic Books for Children', 'Children's General Story Books', 'Adventure Books for Kids', 'Graphic Novels']",The Adventures of Tintin: The Red Sea Sharks,4,9511,Herge Herge,"12,073",9-12,62,Sep,1976,"Little, Brown & Company",United States,English

"['General Knowledge', 'Nonfiction History Books for Kids', 'People & Places', 'History Books for Kids']",Who Was Anne Frank?,4.28,3210,Nancy Harrison,"11,828",9-12,112,Jan,2007,Penguin Putnam Inc,United States,English

"['Children's General Story Books', 'Fantasy Books for Kids', 'Romance Books for Teenagers', 'Historical', 'People & Places']",These Violent Delights,3.93,108045,Chloe Gong,"12,023",12-15,464,Nov,2020,Simon & Schuster,United States,English

"['Graphic Novel & Manga Artwork', 'Children's General Story Books', 'Funny Books for Kids', 'Graphic Novels']",Dog Man 4: Dog Man and Cat Kid,4.52,12675,Dav Pilkey,"13,484",12-15,256,Jan,2019,Scholastic,United Kingdom,English

"['Contemporary Fiction', 'Fantasy', 'Fantasy Books', 'Adventure Books for Kids', 'Sci Fi Books for Kids', 'Fantasy Books for Kids', 'Traditional']",Belgariad 1: Pawn of Prophecy,4.16,101995,David Eddings,"15,556",12-17,352,Sep,2006,Penguin Random House Children's UK,United Kingdom,English

"['Horror & Ghost', 'Non-Fiction', 'Television & Film', 'Children's Hobby & Gaming Books', 'Computer Game Guides']",Five Nights at Freddy's: Survival Logbook,4.64,1310,Scott Cawthon,"47,276",12-15,112,Mar,2018,Scholastic US,United States,English

"['Fantasy', 'Fantasy Books', 'Classic Books for Children', 'Children's General Story Books', 'Sci Fi Books for Kids', 'Fantasy Books for Kids', 'School Stories']",Harry Potter and the Half-Blood Prince,4.58,2996448,J. K. Rowling,"45,350",9+,560,Sep,2014,Bloomsbury Publishing PLC,United Kingdom,English

"['Children's Fiction', 'Children's General Story Books', 'Sci Fi Books for Kids', 'Fantasy Books for Kids', 'Family', 'English Language: Reading & Writing Skills']",My Neighbor Totoro: The Novel,4.38,2631,Hayao Miyazaki,"11,689",12-17,192,Nov,2013,"Viz Media, Subs. of Shogakukan Inc",United States,English

"['Science Fiction', 'Science Fiction', 'Fantasy', 'Fantasy Books', 'Graphic Novels: Manga', 'Graphic Novels: Manga', 'Children's Fiction', 'Sci Fi Books for Kids', 'Fantasy Books for Kids']","Overlord, Vol. 7 (light novel)",4.41,1748,so-bin,"4,710",12-15,256,May,2018,"Little, Brown & Company",United States,English

['Fantasy Books for Kids'],"Raybearer : The New York Times bestseller, soon to be a major Netflix series",4.38,21433,Jordan Ifueko,"12,664",,496,Aug,2020,Hot Key Books,United Kingdom,English

"['Graphic Novels: History & Criticism', 'Children's Fiction', 'Funny Books for Kids', 'Graphic Novels']","Asterix: Asterix Omnibus 9 : Asterix and The Great Divide, Asterix and The Black Gold, Asterix and Son",4.39,138,Albert Uderzo,"6,690",9-12,152,May,2015,"Little, Brown Book Group",United Kingdom,English

"['Children's Fiction', 'Jokes & Humour']",The Amazingly Disorganised Help Dictionary,4.24,153,Georgia Productions,"12,076",12-15,176,Nov,2018,Penguin Random House Australia,,English

"['Language Teaching & Learning Material & Coursework', 'Children's Fiction', 'Children's General Story Books', 'Adventure Books for Kids', 'Family', 'Funny Books for Kids', 'English Language: Reading Schemes', 'Family Issues', 'Social Issues']",Flat Stanley Pb,3.85,15462,Jeff Brown,"67,042",9-12,96,Dec,2013,HarperCollins Publishers Inc,United States,English

"['Adventure Books for Kids', 'Thriller Books for Children', 'Mystery Books for Kids']",CHERUB: Lone Wolf : Book 16,4.33,2886,Robert Muchamore,"11,862",12-17,352,Aug,2021,Hachette Children's Group,United Kingdom,English

"['People & Places', 'Children's Health Books']",The Care & Keeping of You Journal 1 for Younger Girls,4.59,149,Dr Cara Natterson,"37,098",9-12,96,Feb,2013,American Girl Publishing Inc,,English

"['Children's General Story Books', 'Family', 'Family Issues', 'Relationships']",The Summer of Broken Rules,4.05,37771,K. L. Walther,"2,637",12-15,384,Sep,2022,"Sourcebooks, Inc",United States,English

"['Horror', 'Horror', 'Children's Fiction', 'Horror & Ghost', 'Sci Fi Books for Kids']",Hollow City : The Second Novel of Miss Peregrine's Children,4.06,226215,Ransom Riggs,"12,087",12-17,352,Jan,2014,Quirk Books,United States,English

"['Children's Fiction', 'Children's General Story Books', 'Children's Health Books', 'Death & Bereavement']",Me and Earl and the Dying Girl,3.53,135770,Jesse Andrews,"45,074",12-17,304,Nov,2019,Allen & Unwin,Australia,English

"['Graphic Novels, Anime & Manga', 'Graphic Novels, Anime & Manga', 'Graphic Novels: Manga', 'Graphic Novels: Manga', 'Adventure Books for Kids']","Black Clover, Vol. 2",4.23,2723,Yuki Tabata,"44,848",12-15,192,Aug,2016,"Viz Media, Subs. of Shogakukan Inc",United States,English

"['Children's Fiction', 'Children's General Story Books', 'Adventure Books for Kids', 'Historical']",Code Name Verity,4.02,111105,Elizabeth Wein,"23,276",12-17,368,May,2013,"Little, Brown Books for Young Readers",,English

"['Adventure Books for Kids', 'Fantasy Books for Kids', 'Romance Books for Teenagers']",Throne of Glass,4.19,962021,Sarah J Maas,"12,209",12-17,432,May,2013,Bloomsbury YA,,English

"['Adventure Books for Kids', 'Thriller Books for Children']",Mission Survival 3: Sands of the Scorpion,4.15,242,Bear Grylls,"12,195",9+,288,Jun,2009,Penguin Random House Children's UK,United Kingdom,English

"['Graphic Novels: Manga', 'Graphic Novels: Manga', 'Graphic Novels']","Banana Fish, Vol. 3",4.43,1493,Akimi Yoshida,"11,991",12-17,192,Aug,2004,"Viz Media, Subs. of Shogakukan Inc",United States,English

"['Children's Fiction', 'Family']",The Bone Sparrow,4.05,4355,Zana Fraillon,"11,825",12-17,240,Feb,2017,Hachette Children's Group,United Kingdom,English

"['Sci Fi Books for Kids', 'Fantasy Books for Kids']",Opal,4.26,145030,Jennifer L. Armentrout,"12,108",12-17,452,Dec,2012,"Entangled Publishing, LLC",United States,English

"['Children's General Story Books', 'Adventure Books for Kids', 'Fantasy Books for Kids']","Avatar, The Last Airbender: The Dawn of Yangchen (Chronicles of the Avatar Book 3)",4.01,2855,F.C. Yee,"4,140",12-15,336,Jul,2022,ABRAMS,United States,English

"['Children's Fiction', 'Children's General Story Books', 'Adventure Books for Kids', 'Thriller Books for Children', 'Sci Fi Books for Kids']",Fear,4.23,48969,Michael Grant,"46,936",12-17,576,May,2015,HarperCollins Publishers,,English

"['Classic Books & Novels', 'Fantasy', 'Fantasy Books', 'Myth & Legend Told As Fiction', 'Short Story Books', 'Children's Fiction']",Tales from the Perilous Realm : Roverandom and Other Classic Faery Stories,4.11,4275,Alan Lee,"2,645",12-17,432,Apr,2009,HarperCollins Publishers,United Kingdom,English

"['Classic Books & Novels', 'Classic Books for Children']",Tom Sawyer & Huckleberry Finn,4.1,40889,Stuart Hutchinson,"26,881",9-12,416,Jan,1998,Wordsworth Editions Ltd,United Kingdom,English

"['Children's Fiction', 'Children's General Story Books', 'Funny Books for Kids']",The Strange Case of Origami Yoda,3.9,30313,Tom Angleberger,"11,912",9-12,160,May,2011,Abrams,United States,English

"['Adventure Books for Kids', 'Sci Fi Books for Kids', 'Fantasy Books for Kids', 'Witches & Ghosts (Children's/YA)']",The Magician,4.1,93326,Michael Scott,"61,362",12-17,496,Oct,2014,Bantam Doubleday Dell Publishing Group Inc,United States,English

"['Christian Instruction', 'Christian Aspects Of Sexuality, Gender & Relationships', 'Bible Stories']",The Biggest Story : How the Snake Crusher Brings Us Back to the Garden,4.56,1750,Don Clark,"12,246",9-12,132,Aug,2015,CROSSWAY BOOKS,United States,English

"['Bullying & Abuse', 'Disability', 'Self-Esteem']",Break the Mould : How to Take Your Place in the World - WINNER OF THE AN POST IRISH BOOK AWARDS,4.59,159,Natalie Byrne,"6,417",12-15,224,Oct,2020,Hachette Children's Group,United Kingdom,English

"['Activity Books', 'Children's Hobby & Gaming Books']",Diggers and Trucks Snap,3.75,4,Andy Tudor,"12,268",12-17,52,Sep,2007,Usborne Publishing Ltd,United Kingdom,English

"['Children's General Story Books', 'Horror & Ghost', 'Sci Fi Books for Kids', 'Fantasy Books for Kids', 'School Stories']",Vampire Academy: Blood Promise (book 4),4.31,301399,Richelle Mead,"50,930",12-17,528,Mar,2010,Penguin Random House Children's UK,United Kingdom,English

"['Thriller Books', 'Thrillers', 'Children's General Story Books', 'Adventure Books for Kids', 'Thriller Books for Children', 'Mystery Books for Kids', 'Romance Books for Teenagers']",The One Memory of Flora Banks : A Zoella Book Club 2017 novel,3.44,17090,Emily Barr,"95,657",12-15,320,Jan,2017,Penguin Random House Children's UK,United Kingdom,English

"['Children's Fiction', 'Science']",100 Things to Know About Science,4.22,142,Jorge Martin,"45,984",12-17,128,May,2015,Usborne Publishing Ltd,United Kingdom,English

"['Children's Fiction', 'Children's General Story Books', 'Adventure Books for Kids', 'Thriller Books for Children', 'Sci Fi Books for Kids', 'Fantasy Books for Kids']",Legend,4.16,496108,Marie Lu,"12,488",12-17,352,Apr,2013,Penguin Putnam Inc,,English

"['Thriller Books for Children', 'Sci Fi Books for Kids']",The Secret Runners of New York,3.89,5185,Matthew Reilly,"44,134",12-15,352,Mar,2019,Hot Key Books,United Kingdom,English

"['Graphic Novels: Manga', 'Graphic Novels: Manga', 'Children's Fiction', 'Children's General Story Books', 'Fantasy Books for Kids', 'Graphic Novels']","Naruto (3-in-1 Edition), Vol. 2 : Includes vols. 4, 5 & 6",4.42,840,Masashi Kishimoto,"45,276",12-17,600,Jul,2011,"Viz Media, Subs. of Shogakukan Inc",United States,English

"['Graphic Novels: Manga', 'Graphic Novels: Manga', 'Children's Fiction', 'Children's General Story Books', 'School Stories']",Classroom of the Elite (Light Novel) Vol. 4.5,4.03,1063,Tomoseshunsaku,639,12-15,320,Jun,2020,"Seven Seas Entertainment, LLC",United States,English

"['Classic Books for Children', 'Adventure Books for Kids', 'Sci Fi Books for Kids', 'Fantasy Books for Kids']",Three Tales of My Father's Dragon,4.29,4990,Ruth Stiles Gannett,"45,181",12-17,256,Nov,1997,Random House USA Inc,United States,English

"['Children's Fiction', 'Sci Fi Books for Kids', 'Fantasy Books for Kids', 'Romance Books for Teenagers']","The Heart of Betrayal : The Remnant Chronicles, Book Two",4.22,66783,Mary E Pearson,"51,818",12-17,480,Jul,2015,Henry Holt & Company,,English

"['Classic Books for Children', 'Adventure Books for Kids', 'Mystery Books for Kids']",Famous Five: Five Run Away Together : Book 3,4.09,17783,Enid Blyton,"12,145",9-12,208,Mar,1997,Hachette Children's Group,United Kingdom,English

"['Health Books', 'Women's Health', 'Teenagers: Advice For Parents', 'People & Places', 'Children's Health Books']",What's Happening to My Body? Book for Girls : Revised Edition,3.96,295,Simon Sullivan,"51,533",12-17,288,Dec,2007,HarperCollins Publishers Inc,United States,English

"['Adventure Books for Kids', 'Mystery Books for Kids', 'Sci Fi Books for Kids', 'Fantasy Books for Kids']",Artemis Fowl and the Eternity Code,4.05,131853,Eoin Colfer,"12,686",9-12,368,May,2019,Penguin Random House Children's UK,United Kingdom,English

"['Children's Fiction', 'Children's General Story Books', 'Adventure Books for Kids', 'Fantasy Books for Kids', 'Traditional', 'Bullying & Abuse']",The Folk of the Air Complete Gift Set,4.5,8273,Holly Black,"61,119",12-15,1104,Nov,2019,"Little, Brown Books for Young Readers",,English

"['Early Learning', 'The Senses', 'Children's Fiction', 'Children's General Story Books', 'People & Places', 'Transportation Books for Children']",Little Blue Truck Leads the Way Board Book,4.26,4340,Jill McElmurry,"57,471",12-17,38,Jul,2015,Clarion Books,,English

"['Fantasy Books for Kids', 'Traditional', 'Family', 'Family Issues']",Sweet Evil,4.08,76388,Wendy Higgins,"12,455",12-17,464,May,2012,HarperCollins Publishers Inc,United States,English

"['Sci Fi Books for Kids', 'Fantasy Books for Kids']",Harry Potter and the Philosopher's Stone,4.47,9106586,J. K. Rowling,"45,320",9+,,Aug,2016,Bloomsbury Publishing PLC,United Kingdom,English

"['Children's Fiction', 'Classic Books for Children', 'Traditional', 'English Literature']",A Shakespeare Story: Macbeth,3.82,541,Tony Ross,"9,738",12-17,64,Oct,2003,Hachette Children's Group,United Kingdom,English

"['Sci Fi Books for Kids', 'Fantasy Books for Kids', 'Traditional']",Shadow and Bone,3.95,818512,Leigh Bardugo,"12,463",12-17,368,Jun,2012,St Martin's Press,United States,English

"['Contemporary Fiction', 'Classic Books & Novels', 'Children's General Story Books']",The Perks of Being a Wallflower,4.22,1623940,Stephen Chbosky,"12,487",12-15,224,Sep,2012,Simon & Schuster,United States,English

"['Children's Fiction', 'Sci Fi Books for Kids', 'Romance Books for Teenagers', 'Relationships']",Vampire Academy Box Set 1-6,4.53,8580,Richelle Mead,"12,253",12-17,2784,Dec,2013,RAZORBILL,,English

"['Graphic Novel & Manga Artwork', 'Graphic Novels, Anime & Manga', 'Graphic Novels, Anime & Manga', 'Graphic Novels: History & Criticism', 'Children's Fiction', 'Traditional', 'Funny Books for Kids', 'Graphic Novels']",Asterix: Asterix and The Normans : Album 9,4.15,7756,Albert Uderzo,"53,642",11+,48,Jun,2005,"Little, Brown Book Group",United Kingdom,English

"['Children's General Story Books', 'Adventure Books for Kids', 'Traditional', 'Romance Books for Teenagers', 'Historical', 'Battles']",Lovely War,4.25,46418,Julie Berry,"66,098",12-15,480,Feb,2020,Penguin Putnam Inc,,English

"['Graphic Novels: Manga', 'Graphic Novels: Manga', 'Sports Stories', 'Graphic Novels']","Slam Dunk, Vol. 1",4.4,10030,Takehiko Inoue,"6,901",12-17,208,May,2018,"Viz Media, Subs. of Shogakukan Inc",United States,English

"['Adventure Books for Kids', 'Fantasy Books for Kids']",Namesake,4.07,39629,Adrienne Young,"2,191",12-15,368,Mar,2021,Wednesday Books,,English

"['Children's Fiction', 'Adventure Books for Kids', 'Mystery Books for Kids', 'Sci Fi Books for Kids', 'Fantasy Books for Kids']",Artemis Fowl and the Time Paradox,4.08,88007,Eoin Colfer,"12,568",12-17,464,Jun,2019,Penguin Random House Children's UK,United Kingdom,English

"['Adventure Books for Kids', 'Thriller Books for Children', 'Mystery Books for Kids', 'Historical']",Enola Holmes: The Case of the Missing Marquess,3.79,30094,Nancy Springer,"12,449",12-15,240,Aug,2020,Penguin Putnam Inc,United States,English

"['Graphic Novel & Manga Artwork', 'Graphic Novels, Anime & Manga', 'Graphic Novels, Anime & Manga', 'Children's Fiction', 'Children's General Story Books', 'Thriller Books for Children', 'Mystery Books for Kids', 'Family', 'School Stories', 'Multiculturalism', 'Relationships', 'Social Issues']",Ace of Spades,4.23,62172,Faridah Abíké-Íyímídé,"4,523",12-15,480,Jun,2021,Usborne Publishing Ltd,United Kingdom,English

"['Graphic Novels, Anime & Manga', 'Graphic Novels, Anime & Manga', 'Children's General Story Books', 'Sci Fi Books for Kids', 'Fantasy Books for Kids', 'Animal Stories', 'Graphic Novels']",The Hidden Kingdom (Wings of Fire Graphic Novel ,4.57,3988,Mike Holmes,"12,334",12-15,224,Oct,2021,Scholastic US,United States,English

"['Children's Fiction', 'Children's General Story Books', 'Sci Fi Books for Kids', 'Family', 'Funny Books for Kids']",The Person Controller,4.32,1804,Jim Field,"69,735",9+,384,Feb,2016,HarperCollins Publishers,United Kingdom,English

"['Children's Fiction', 'Classic Books for Children', 'Children's General Story Books', 'Family', 'People & Places', 'Society & Social Issues', 'Children's Health Books', 'Family Issues']",Walk Two Moons : A Newbery Award Winner,3.99,162897,Sharon Creech,"66,080",9-12,304,Jun,2019,HarperCollins Publishers Inc,United States,English

"['Children's Fiction', 'Children's General Story Books', 'Family', 'Family Issues', 'Disability']",Rules,3.98,60403,Cynthia Lord,"12,442",9-12,224,Sep,2008,Scholastic US,United States,English

"['Adventure Books for Kids', 'Thriller Books for Children']",Mission Survival 4: Tracks of the Tiger,4.33,212,Bear Grylls,"12,476",9+,320,Feb,2010,Penguin Random House Children's UK,United Kingdom,English

"['Sci Fi Books for Kids', 'Fantasy Books for Kids', 'Traditional', 'Family', 'Family Issues']",The Sorceress,4.12,80613,Michael Scott,"12,696",12-17,512,Oct,2018,Bantam Doubleday Dell Publishing Group Inc,United States,English

"['Children's General Story Books', 'Adventure Books for Kids', 'Sci Fi Books for Kids', 'Fantasy Books for Kids', 'Witches & Ghosts (Children's/YA)']",The Inheritance Cycle 4-Book Trade Paperback Boxed Set : Eragon; Eldest; Brisingr; Inheritance,4.52,11000,Christopher Paolini,"58,992",12-17,880,Oct,2012,Random House USA Inc,United States,English

"['Children's General Story Books', 'Romance Books for Teenagers', 'Family']",It Only Happens in the Movies,3.84,23024,Holly Bourne,"39,373",12-15,416,Oct,2017,Usborne Publishing Ltd,United Kingdom,English

"['Children's General Story Books', 'Adventure Books for Kids', 'Fantasy Books for Kids', 'Romance Books for Teenagers', 'Family', 'Family Issues']",Snow Like Ashes,3.89,65983,Sara Raasch,"66,998",12-17,448,Oct,2015,HarperCollins Publishers Inc,United States,English

"['Fantasy', 'Fantasy Books', 'Graphic Novels: Manga', 'Graphic Novels: Manga', 'Children's Fiction', 'Fantasy Books for Kids', 'Funny Books for Kids']","One Piece: Ace's Story, Vol. 1 : Formation of the Spade Pirates",4.09,712,Eiichiro Oda,"5,048",12-15,144,Jun,2020,"Viz Media, Subs. of Shogakukan Inc",United States,English

"['Activity Books', 'Children's Fiction', 'Art']",Famous Paintings,4.33,24,Adam Larkum,"45,902",12-17,30,Mar,2011,Usborne Publishing Ltd,United Kingdom,English

"['Children's Fiction', 'Children's General Story Books', 'Romance Books for Teenagers', 'Family', 'Graphic Novels', 'Society & Social Issues', 'Family Issues', 'Siblings']",Kristy's Great Idea,4.16,71256,Raina Telgemeier,"12,508",9-12,192,Jan,2019,Scholastic US,United States,English

"['Biblical Studies & Exegesis', 'Bible Stories']",Stories Jesus Told,4.66,79,Mick Inkpen,"12,673",12-17,224,Sep,2005,SPCK Publishing,United Kingdom,English

"['Children's Fiction', 'Children's General Story Books', 'People & Places', 'Children's Health Books', 'Bullying & Abuse']",Stolen,3.9,78563,Lucy Christopher,"57,853",12-17,320,Apr,2012,Scholastic US,,English

"['Graphic Novels, Anime & Manga', 'Graphic Novels, Anime & Manga', 'Graphic Novels: Manga', 'Graphic Novels: Manga', 'Fantasy Books for Kids', 'Graphic Novels']","The Mortal Instruments: The Graphic Novel, Vol. 1",4.1,7936,Cassandra Jean,"59,940",12-15,192,Nov,2017,"Little, Brown & Company",United States,English

"['Children's Fiction', 'Children's General Story Books', 'Sci Fi Books for Kids', 'Fantasy Books for Kids', 'Traditional', 'Family', 'Funny Books for Kids', 'Family Issues']",Ella Enchanted,4,404287,Gail Carson Levine,"12,686",9-12,304,Jun,2022,HarperCollins Publishers Inc,United States,English

"['Psychotherapy', 'Activity Books', 'Citizenship & Social Education', 'Society & Social Issues']",What to Do When Bad Habits Take Hold : A Kid's Guide to Overcoming Nail Biting and More,4.25,64,Bonnie Matthews,"44,888",12-17,72,Sep,2008,American Psychological Association,United States,English

"['Graphic Novels, Anime & Manga', 'Graphic Novels, Anime & Manga', 'Graphic Novels']",Awkward,4.18,45143,Svetlana Chmakova,"59,964",9-12,224,Jul,2015,"Little, Brown & Company",United States,English

"['Adventure Books for Kids', 'Sci Fi Books for Kids', 'Romance Books for Teenagers']",Obsidio,4.47,49409,Jay Kristoff,"12,806",12-15,624,Mar,2018,Random House USA Inc,United States,English

"['Graphic Novels: Literary & Memoirs', 'Graphic Novels: Literary & Memoirs', 'Classic Books for Children', 'Adventure Books for Kids', 'Graphic Novels']",The Adventures of Tintin: The Seven Crystal Balls,4.21,13234,Herge Herge,"12,950",9-12,62,Sep,1975,"Little, Brown & Company",United States,English

"['Activity Books', 'Buildings']",See Inside Famous Buildings,4.38,42,Barry Ablett,"18,848",12-17,16,Apr,2009,Usborne Publishing Ltd,United Kingdom,English

"['Adventure Books for Kids', 'Romance Books for Teenagers', 'Battles']",The Winner's Kiss,4.22,47109,Marie Rutkoski,"49,609",12+,496,Mar,2016,Bloomsbury Publishing PLC,United Kingdom,English

"['Graphic Novel & Manga Artwork', 'Graphic Novels, Anime & Manga', 'Graphic Novels, Anime & Manga', 'Adventure Books for Kids', 'Fantasy Books for Kids', 'Funny Books for Kids']",The Last Kids on Earth,4.14,14886,Douglas Holgate,"13,433",12-15,240,Aug,2019,HarperCollins Publishers,,English

"['World War 1 Fiction', 'Children's Fiction', 'Children's General Story Books', 'Adventure Books for Kids', 'Family', 'Animal Stories']",Farm Boy,3.72,2791,Michael Morpurgo,"16,171",9+,112,Feb,2012,HarperCollins Publishers,United Kingdom,English

"['Adventure Books for Kids', 'Sci Fi Books for Kids', 'Traditional', 'Non-Fiction', 'English Literature', 'Citizenship & Social Education']",Percy Jackson and the Olympians the Ultimate Guide (Percy Jackson and the Olympians),4.08,19427,Rick Riordan,"12,503",9-12,156,Jan,2010,Hyperion,United States,English

"['Children's Fiction', 'Children's General Story Books', 'Family', 'School Stories', 'Family Issues', 'School']",I Just Want to Do it My Way!,4.16,233,Kelsey De Weerd,"24,499",12-17,32,Jul,2013,Boys Town Press,United States,English

"['Children's Fiction', 'Children's General Story Books', 'Adventure Books for Kids', 'Sci Fi Books for Kids', 'Fantasy Books for Kids']",Flashback,4.39,23122,Shannon Messenger,"4,119",12-15,880,Oct,2019,Simon & Schuster,United States,English

"['Children's Fiction', 'Children's General Story Books', 'Adventure Books for Kids', 'Funny Books for Kids', 'School Stories', 'English Language: Reading Schemes']",Ivy and Bean Break the Fossil Record,4.12,5396,Sophie Blackall,"12,395",9-12,124,Feb,2008,CHRONICLE BOOKS,United States,English

"['Biography: General', 'Biography: Sport', 'Biography: Religious & Spiritual', 'Memoirs', 'Surfing, Windsurfing, Water Skiing', 'Children's Fiction', 'Swimming & Water Sports (Children's/YA)']",&,4.06,12835,Hamilton,"45,347",12-15,240,Jan,2007,Simon & Schuster,United States,English

"['Graphic Novels, Anime & Manga', 'Graphic Novels, Anime & Manga', 'Children's Fiction', 'Children's General Story Books', 'Adventure Books for Kids', 'Mystery Books for Kids', 'Traditional', 'Graphic Novels']",Gravity Falls: Lost Legends : 4 All-New Adventures!,4.47,4291,Mike Holmes,"12,212",12-15,144,Jul,2018,Disney Press,,English

"['Graphic Novels: Manga', 'Graphic Novels: Manga', 'Sci Fi Books for Kids', 'Fantasy Books for Kids']","Fullmetal Alchemist (3-in-1 Edition), Vol. 3 : Includes vols. 7, 8 & 9",4.59,2435,Hiromu Arakawa,"12,646",12-15,576,Oct,2011,"Viz Media, Subs. of Shogakukan Inc",United States,English

"['Adventure Books', 'Fantasy', 'Fantasy Books', 'Fantasy Books for Kids']",Homeland : The Legend of Drizzt,4.26,83307,R.A. Salvatore,"12,413",12-15,384,Dec,2005,WIZARDS OF THE COAST,,English

"['Graphic Novels: Manga', 'Graphic Novels: Manga', 'Fantasy Books for Kids']","Naruto, Vol. 6",4.39,12723,Masashi Kishimoto,"38,010",12-15,192,Oct,2007,"Viz Media, Subs. of Shogakukan Inc",United States,English

"['Adventure Books for Kids', 'Sci Fi Books for Kids', 'Fantasy Books for Kids', 'Animal Stories']",Warriors: A Vision of Shadows Box Set: Volumes 1 to 6,4.58,168,Erin Hunter,"4,932",12-15,2144,Dec,2019,HarperCollins Publishers Inc,United States,English

"['Science Fiction', 'Science Fiction', 'Children's Fiction', 'Adventure Books for Kids', 'Sci Fi Books for Kids']","Re:ZERO -Starting Life in Another World-, Vol. 4 (light novel)",4.24,685,Tappei Nagatsuki,"61,998",12-15,240,Jun,2017,"Little, Brown & Company",United States,English

"['Romance', 'Romance Books', 'Children's Fiction', 'Children's General Story Books', 'Romance Books for Teenagers']",Between the Lines : the romantic modern-day fairytale by the number one bestselling author of A Spark of Light,3.57,43846,Samantha van Leer,"12,341",12+,384,Jun,2013,Hodder & Stoughton,United Kingdom,English

"['Graphic Novel & Manga Artwork', 'Children's Fiction', 'Children's General Story Books', 'Funny Books for Kids', 'School Stories', 'Graphic Novels', 'Jokes & Humour']",Dork Diaries: Party Time,4.23,59442,Rachel Renée Russell,"43,460",9+,304,May,2015,Simon & Schuster Ltd,United Kingdom,English

"['Children's Fiction', 'Children's General Story Books', 'Adventure Books for Kids', 'Sci Fi Books for Kids', 'Fantasy Books for Kids', 'Death & Bereavement']",Scythe,4.33,241028,Neal Shusterman,"46,210",12-17,448,Nov,2016,Simon & Schuster Books for Young Readers,,English

"['Children's General Story Books', 'Adventure Books for Kids', 'Fantasy Books for Kids', 'Romance Books for Teenagers', 'Nonfiction History Books for Kids', 'Society & Social Issues']",Dark Rise,4.15,11844,C. S. Pacat,"17,367",12-15,464,Dec,2021,HarperCollins Publishers Inc,,English

"['Animal Stories', 'Wildlife', 'English Language: Reading Schemes', 'Biology']",National Geographic Kids Readers: Dolphins,4.15,338,National Geographic KIds,"44,804",12-17,32,Apr,2010,National Geographic Kids,United States,English

"['Children's Fiction', 'Children's General Story Books', 'Romance Books for Teenagers', 'Family', 'Graphic Novels', 'Society & Social Issues', 'Family Issues', 'Siblings']",The Truth About Stacey,4.38,18109,Raina Telgemeier,"57,558",9-12,192,Jul,2020,Scholastic US,United States,English

"['Nonfiction History Books for Kids', 'Natural History Books for Children', 'Dinosaurs', 'Science', 'Sciences']",A Really Short History of Nearly Everything,4.27,2532,Bill Bryson,"59,805",9-12,176,Oct,2009,Bantam Doubleday Dell Publishing Group Inc,United States,English

"['Children's Fiction', 'Children's General Story Books', 'Adventure Books for Kids', 'Fantasy Books for Kids']",The Maze Runner Series Complete Collection Boxed Set (5-Book),4.24,15219,James Dashner,"12,123",12-15,1952,Aug,2017,Random House USA Inc,United States,English

"['Children's Fiction', 'Children's General Story Books', 'Historical', 'Society & Social Issues']",Emerald Star,4.17,3893,Nick Sharratt,"58,732",9-12,432,Aug,2013,Penguin Random House Children's UK,United States,English

"['Art Books', 'Art', 'Art & Design', 'General Reference']",The Art Book for Children,4.24,199,Jane Ace,"54,919",12-17,80,Oct,2005,Phaidon Press Ltd,United Kingdom,English

"['Graphic Novel & Manga Artwork', 'Graphic Novels, Anime & Manga', 'Graphic Novels, Anime & Manga', 'Graphic Novels: History & Criticism', 'Picture & Activity Books', 'Traditional', 'Funny Books for Kids', 'Graphic Novels']",Asterix: Asterix The Legionary : Album 10,4.31,8904,Albert Uderzo,"13,156",12-17,48,Jun,2005,"Little, Brown Book Group",United Kingdom,English

